"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","간장애",예천군,23,24,24,20,21,20,18,15,12,11
"장애유형","간장애",봉화군,21,21,21,21,20,16,15,14,13,11
"장애유형","간장애",울진군,22,18,18,18,18,18,16,13,11,13
"장애유형","간장애",울릉군,5,5,4,5,5,4,2,3,4,3
"장애유형","안면장애",포항시,24,23,23,25,25,26,25,25,27,27
"장애유형","안면장애",경주시,19,19,20,18,20,20,19,17,18,19
"장애유형","안면장애",김천시,12,12,12,12,11,12,12,13,12,11
"장애유형","안면장애",안동시,13,14,16,16,16,17,17,16,16,16
"장애유형","안면장애",구미시,30,28,27,27,28,29,29,30,31,31
"장애유형","안면장애",영주시,4,5,5,5,4,5,6,5,6,6
"장애유형","안면장애",영천시,13,13,14,12,12,13,13,14,14,15
"장애유형","안면장애",상주시,13,12,12,12,12,13,12,12,11,12
"장애유형","안면장애",문경시,7,7,6,6,5,5,5,6,6,6
"장애유형","안면장애",경산시,11,12,12,13,12,10,11,11,10,11
"장애유형","안면장애",군위군,-,-,-,-,2,2,2,1,1,1
"장애유형","안면장애",의성군,3,3,4,2,2,3,3,4,4,4
"장애유형","안면장애",청송군,2,2,2,2,1,2,2,2,2,2
"장애유형","안면장애",영양군,3,3,3,3,3,3,2,2,1,1
"장애유형","안면장애",영덕군,6,6,6,5,5,4,4,4,4,4
"장애유형","안면장애",청도군,6,6,5,5,4,4,4,4,4,4
"장애유형","안면장애",고령군,1,2,1,2,2,2,3,3,2,2
"장애유형","안면장애",성주군,1,1,2,2,1,2,2,3,3,2
"장애유형","안면장애",칠곡군,7,9,8,8,9,9,9,10,12,12
"장애유형","안면장애",예천군,10,10,10,10,9,9,8,8,8,8
"장애유형","안면장애",봉화군,4,4,4,4,4,4,4,3,3,3
"장애유형","안면장애",울진군,3,4,4,4,4,4,4,4,4,4
"장애유형","안면장애",울릉군,2,2,2,2,2,2,2,2,2,2
"장애유형","장루,요루장애",포항시,141,135,137,132,136,126,122,130,127,123
"장애유형","장루,요루장애",경주시,82,80,81,79,79,80,75,71,67,66
"장애유형","장루,요루장애",김천시,54,55,58,58,59,55,61,57,55,47
"장애유형","장루,요루장애",안동시,54,45,41,39,45,44,50,54,55,57
"장애유형","장루,요루장애",구미시,75,74,74,74,75,71,63,61,59,63
"장애유형","장루,요루장애",영주시,55,54,52,52,49,48,45,49,49,49
"장애유형","장루,요루장애",영천시,53,51,53,50,53,49,56,49,49,49
"장애유형","장루,요루장애",상주시,42,43,41,37,43,43,39,35,38,33
"장애유형","장루,요루장애",문경시,35,35,33,33,32,35,37,32,33,31
"장애유형","장루,요루장애",경산시,73,78,75,70,68,65,63,60,68,61
"장애유형","장루,요루장애",군위군,18,17,13,12,11,11,10,10,10,8
"장애유형","장루,요루장애",의성군,34,32,31,30,28,29,27,28,29,28
"장애유형","장루,요루장애",청송군,13,12,13,13,11,10,11,9,11,11
"장애유형","장루,요루장애",영양군,12,12,11,10,9,9,11,11,8,10
"장애유형","장루,요루장애",영덕군,28,27,27,29,25,30,29,25,26,28
"장애유형","장루,요루장애",청도군,27,23,23,20,19,21,23,21,18,18
"장애유형","장루,요루장애",고령군,19,19,18,17,13,16,17,16,17,16
"장애유형","장루,요루장애",성주군,23,21,20,22,19,20,19,19,21,25
"장애유형","장루,요루장애",칠곡군,35,29,25,25,22,25,27,29,30,30
"장애유형","장루,요루장애",예천군,22,23,23,25,27,29,34,36,34,31
"장애유형","장루,요루장애",봉화군,14,13,13,13,14,12,16,14,16,11
"장애유형","장루,요루장애",울진군,21,19,19,18,17,15,15,15,14,15
"장애유형","장루,요루장애",울릉군,1,1,1,1,-,1,-,-,1,1
"장애유형","뇌전증장애",포항시,71,70,70,65,64,61,70,67,67,69
"장애유형","뇌전증장애",경주시,31,31,35,34,32,30,33,30,30,30
"장애유형","뇌전증장애",김천시,22,25,24,25,19,19,16,16,13,14
"장애유형","뇌전증장애",안동시,21,21,20,19,20,22,21,22,15,18
"장애유형","뇌전증장애",구미시,38,35,35,36,35,30,32,28,30,33
"장애유형","뇌전증장애",영주시,24,25,23,23,22,21,23,20,21,22
"장애유형","뇌전증장애",영천시,17,13,17,15,15,15,13,14,13,15
"장애유형","뇌전증장애",상주시,10,11,12,13,15,12,11,12,14,13
"장애유형","뇌전증장애",문경시,12,12,13,13,14,14,14,14,14,14
"장애유형","뇌전증장애",경산시,33,34,30,30,31,33,31,30,28,29
"장애유형","뇌전증장애",군위군,2,2,2,3,3,2,2,1,1,3
"장애유형","뇌전증장애",의성군,6,6,6,7,7,8,8,7,7,8
"장애유형","뇌전증장애",청송군,4,4,4,4,4,6,6,8,8,9
"장애유형","뇌전증장애",영양군,4,4,4,4,4,3,3,3,3,3
"장애유형","뇌전증장애",영덕군,8,8,9,8,8,7,7,7,7,7
"장애유형","뇌전증장애",청도군,11,9,11,11,8,10,9,8,8,7
"장애유형","뇌전증장애",고령군,3,4,6,7,4,4,3,2,2,1
"장애유형","뇌전증장애",성주군,9,9,9,7,6,7,5,5,6,6
"장애유형","뇌전증장애",칠곡군,12,9,11,10,13,13,16,19,16,17
"장애유형","뇌전증장애",예천군,7,9,8,7,7,9,8,7,8,7
"장애유형","뇌전증장애",봉화군,8,10,10,9,11,11,8,9,7,8
"장애유형","뇌전증장애",울진군,12,12,12,12,13,12,12,12,11,11
"장애유형","뇌전증장애",울릉군,1,1,1,1,1,-,1,1,1,1
